frame,numero_pers,distance_x,distance_y,distance_z
31,5,194.280325,-1166.0763499999998,0
31,6,261.54197,-1210.3119,0
31,7,-160.22938499999998,-1168.1225,0
31,8,-691.3638000000001,-1504.2594,0
31,9,-233.08628,-1149.5548,0
31,10,-309.36033999999995,-1176.84755,0
31,11,-415.319485,-1001.604315,0
31,12,-382.7482,-110.89895,0
31,13,-706.141065,-1215.5331500000002,0
32,0,-12.952195999999999,187.54292,0
32,1,352.340975,-112.98345,0
32,2,-70.1902515,-287.794465,0
32,3,126.230307,-1205.0770499999999,0
32,4,325.579,-1122.743,0
32,5,194.374055,-1165.8306499999999,0
32,6,261.57273499999997,-1210.16975,0
32,7,-160.190235,-1167.79105,0
32,8,-691.2965750000001,-1503.76705,0
32,9,-233.078955,-1149.4222,0
32,10,-331.4766,-1177.05145,0
32,11,-415.374335,-1003.5288,0
32,12,-382.77798,-110.97491,0
32,13,-704.84295,-1215.10255,0
33,0,-13.179995500000002,187.558075,0
33,1,352.32004,-113.018445,0
33,2,-70.687825,-287.73251500000003,0
33,3,126.23180249999999,-1205.1612,0
33,4,325.681805,-1123.28155,0
33,5,194.35089499999998,-1166.1536,0
33,6,261.56595500000003,-1208.8587499999999,0
33,7,-160.17816,-1167.7523,0
33,8,-691.28795,-1503.73115,0
33,9,-232.936315,-1149.4685,0
33,10,-309.367175,-1177.05835,0
33,11,-412.28058999999996,-973.92265,0
33,12,-382.68985,-110.93764,0
33,13,-705.14227,-1214.2062,0
34,0,-12.568885000000002,183.73316,0
34,1,352.31719999999996,-113.015045,0
34,2,-71.1817525,-287.11633,0
34,3,126.22371000000001,-1205.20075,0
34,4,325.51268,-1122.5118,0
34,5,194.37166000000002,-1165.7856000000002,0
34,6,261.417855,-1209.0668500000002,0
34,7,-160.1766,-1167.7961,0
34,8,-691.3514700000001,-1504.2794,0
34,9,-233.48562,-1149.5160500000002,0
34,10,-309.361205,-1177.0308,0
34,11,-413.79740000000004,-983.92312,0
34,12,-382.665,-110.838806,0
34,13,-706.983975,-1212.8116,0
35,0,-12.1733525,179.11848500000002,0
35,1,352.32831,-112.972275,0
35,2,-70.79058,-287.29169,0
35,3,126.05784,-1204.92875,0
35,4,325.74075500000004,-1123.5630999999998,0
35,5,194.383475,-1165.8135,0
35,6,261.630485,-1208.55355,0
35,7,-160.09168499999998,-1168.22075,0
35,8,-691.4347849999999,-1504.70325,0
35,9,-233.04621,-1149.6491999999998,0
35,10,-309.35778,-1176.8851,0
35,11,-413.23422500000004,-980.4826499999999,0
35,12,-382.6641,-110.81399,0
35,13,-707.1019,-1210.9744,0
36,0,-12.155227500000002,174.4169,0
36,1,352.3002,-112.8768075,0
36,2,-71.04117500000001,-285.975845,0
36,3,126.064915,-1205.0963000000002,0
36,4,325.484965,-1123.0122000000001,0
36,5,194.37108,-1165.8386,0
36,6,261.55814499999997,-1208.57145,0
36,7,-160.17198,-1167.7849,0
36,8,-691.45808,-1505.2603,0
36,9,-233.48595999999998,-1149.65825,0
36,10,-309.34459000000004,-1176.99835,0
36,11,-415.38687500000003,-1005.3805500000001,0
36,12,-382.70453,-110.8132,0
36,13,-706.98915,-1211.86875,0
37,0,-12.790292999999998,171.21280000000002,0
37,1,352.301865,-112.953992,0
37,2,-70.95980800000001,-286.452475,0
37,3,126.067942,-1205.0212000000001,0
37,4,325.530535,-1123.2561,0
37,5,194.51460500000002,-1165.5166,0
37,6,261.62878,-1208.4062,0
37,7,-160.28698500000002,-1167.9261000000001,0
37,8,-691.470225,-1505.1752000000001,0
37,9,-233.49427,-1149.69855,0
37,10,-309.35959,-1176.5536000000002,0
37,11,-415.66474,-1007.6224,0
37,12,-382.77432,-111.11009,0
37,13,-707.1377,-1211.7161500000002,0
38,0,-13.112482,173.667835,0
38,1,352.29236000000003,-112.9701225,0
38,2,-97.77389,-287.40509,0
38,3,126.06984,-1205.0184,0
38,4,325.61845500000004,-1122.89505,0
38,5,194.40064999999998,-1165.66745,0
38,6,261.56025999999997,-1208.33785,0
38,7,-160.121695,-1166.4866499999998,0
38,8,-691.3881,-1504.58765,0
38,9,-233.49541,-1149.73835,0
38,10,-309.37136499999997,-1176.5569,0
38,11,-415.375625,-1000.5760500000001,0
38,12,-382.78278,-111.113205,0
38,13,-707.0493650000001,-1212.0466000000001,0
39,0,-12.619187,181.17109,0
39,1,352.316145,-113.01653,0
39,2,-98.38297,-286.19475,0
39,3,125.947675,-1205.0423,0
39,4,325.404005,-1123.09905,0
39,5,194.51066500000002,-1165.6091000000001,0
39,6,261.54679500000003,-1208.1966499999999,0
39,7,-160.27807,-1167.8526000000002,0
39,8,-691.367495,-1504.58375,0
39,9,-233.49479000000002,-1149.71345,0
39,10,-309.37658,-1176.61345,0
39,11,-411.921,-970.67705,0
39,12,-382.79263,-111.26429,0
39,13,-701.2358999999999,-1212.2806,0
40,0,-12.054399,188.903665,0
40,1,352.33317999999997,-113.05243,0
40,2,-99.059719,-286.34535,0
40,3,126.06904,-1204.9052000000001,0
40,4,325.414015,-1123.0351,0
40,5,194.41643499999998,-1165.5542,0
40,6,261.55125,-1208.3440500000002,0
40,7,-160.183295,-1166.4366,0
40,8,-691.442015,-1505.1009,0
40,9,-233.07245,-1149.70305,0
40,10,-309.39639,-1176.75925,0
40,11,-414.53387,-993.57075,0
40,12,-382.8073,-111.19594,0
40,13,-681.3002650000001,-1211.8886499999999,0
41,0,-12.153030000000001,192.61458,0
41,1,352.32849999999996,-113.066847,0
41,2,-97.017335,-222.99442499999998,0
41,3,126.18928249999999,-1205.0617,0
41,4,325.41080999999997,-1123.11175,0
41,5,194.41709,-1165.6329999999998,0
41,6,261.766825,-1207.9093,0
41,7,-160.29067,-1167.85055,0
41,8,-681.37138,-1504.00925,0
41,9,-233.4857,-1150.1205,0
41,10,-309.35762,-1176.6596,0
41,11,-415.12604,-998.52345,0
41,12,-382.7875,-111.155624,0
41,13,-676.015975,-1209.6725000000001,0
42,0,-11.969973499999998,192.76069999999999,0
42,1,352.336185,-113.110643,0
42,2,-99.23266000000001,-222.362775,0
42,3,126.06829,-1205.1142,0
42,4,325.56883000000005,-1123.28015,0
42,5,194.37851999999998,-1165.409,0
42,6,261.724265,-1207.8971999999999,0
42,7,-160.214655,-1168.00945,0
42,8,-681.5627649999999,-1505.09235,0
42,9,-233.050725,-1150.07935,0
42,10,-309.35141999999996,-1176.6563,0
42,11,-411.27121,-962.2444499999999,0
42,12,-382.7678,-111.120605,0
42,13,-671.95193,-1207.47625,0
43,0,-11.916743999999998,193.1677,0
43,1,352.34337,-113.13606999999999,0
43,2,-99.3943675,-212.161225,0
43,3,125.944045,-1205.0373,0
43,4,325.534815,-1123.0852,0
43,5,194.431195,-1165.6606000000002,0
43,6,261.64022,-1207.7706,0
43,7,-160.11112500000002,-1166.2721,0
43,8,-691.32776,-1504.52945,0
43,9,-233.49694499999998,-1149.8596499999999,0
43,10,-309.335145,-1176.6282,0
43,11,-411.520525,-967.2758200000001,0
43,12,-382.7584,-111.11601,0
43,13,-671.37435,-1206.67875,0
44,0,-11.72147,191.99668,0
44,1,352.323045,-112.979737,0
44,2,-98.9728525,-195.76991500000003,0
44,3,126.0681975,-1205.0927000000001,0
44,4,325.51073499999995,-1122.9849,0
44,5,194.427805,-1165.6598,0
44,6,261.58929,-1207.5695,0
44,7,-160.18335000000002,-1167.9239,0
44,8,-691.403875,-1504.9893499999998,0
44,9,-233.509105,-1149.5725499999999,0
44,10,-309.333065,-1176.9823000000001,0
44,11,-415.42474500000003,-1000.9698000000001,0
44,12,-382.74036,-111.01227,0
44,13,-666.4984999999999,-1205.7391499999999,0
45,0,-11.5609265,185.33309500000001,0
45,1,352.33246499999996,-112.965825,0
45,2,-98.770082,-196.434555,0
45,3,126.062445,-1204.9124000000002,0
45,4,325.51748,-1122.9426,0
45,5,194.395625,-1164.87955,0
45,6,261.707895,-1207.7185,0
45,7,-157.04854,-1168.08175,0
45,8,-681.3937,-1504.3894500000001,0
45,9,-233.526635,-1149.46925,0
45,10,-309.35231,-1177.09935,0
45,11,-415.94708,-1008.42867,0
45,12,-382.68463,-110.86511,0
45,13,-705.80029,-1202.9023,0
46,0,-10.740492500000002,177.126235,0
46,1,352.336655,-113.038715,0
46,2,-98.6088445,-212.475335,0
46,3,126.06268,-1205.0153,0
46,4,325.50758,-1122.9884,0
46,5,194.404585,-1164.4472,0
46,6,261.742515,-1207.83045,0
46,7,-160.280245,-1167.73795,0
46,8,-681.48165,-1504.28945,0
46,9,-233.50915500000002,-1149.42805,0
46,10,-309.33844,-1176.85905,0
46,11,-415.696065,-1004.8854,0
46,12,-382.67303,-110.88464,0
46,13,-705.3797999999999,-1200.77225,0
47,0,-9.867944999999999,172.241075,0
47,1,352.34193500000003,-112.942312,0
47,2,-98.97497999999999,-215.12905,0
47,3,126.0732175,-1204.9415,0
47,4,325.514725,-1123.0499,0
47,5,194.87770999999998,-1164.08635,0
